,FIPS,Emp,ind_name
815,20193,,hospital
816,20195,,hospital
817,20201,,hospital
818,20203,,hospital
819,20205,,hospital
820,20209,12848.75,hospital
821,21001,51.0,hospital
822,21003,,hospital
823,21009,970.3333333333334,hospital
824,21013,398.6666666666667,hospital
825,21015,1281.0,hospital
826,21017,,hospital
827,21019,,hospital
828,21021,,hospital
829,21025,,hospital
830,21027,,hospital
831,21029,0.0,hospital
832,21033,,hospital
833,21035,,hospital
834,21037,1049.5,hospital
835,21041,,hospital
836,21043,,hospital
837,21045,,hospital
838,21047,1013.75,hospital
839,21049,,hospital
840,21051,418.25,hospital
841,21053,,hospital
842,21055,,hospital
843,21057,,hospital
844,21059,,hospital
845,21065,,hospital
846,21067,18555.25,hospital
847,21069,,hospital
848,21071,502.25,hospital
849,21073,,hospital
850,21081,,hospital
851,21083,,hospital
852,21085,,hospital
853,21087,,hospital
854,21089,,hospital
855,21093,2648.75,hospital
856,21095,0.0,hospital
857,21097,,hospital
858,21099,,hospital
859,21101,,hospital
860,21107,,hospital
861,21111,22974.5,hospital
862,21115,,hospital
863,21117,4656.25,hospital
864,21121,0.0,hospital
865,21125,762.0,hospital
866,21127,,hospital
867,21131,0.0,hospital
868,21133,0.0,hospital
869,21137,,hospital
870,21139,,hospital
871,21141,,hospital
872,21145,2611.0,hospital
873,21151,866.75,hospital
874,21155,,hospital
875,21157,,hospital
876,21161,,hospital
877,21167,,hospital
878,21171,,hospital
879,21173,,hospital
880,21175,0.0,hospital
881,21177,,hospital
882,21179,,hospital
883,21183,,hospital
884,21185,144.5,hospital
885,21187,,hospital
886,21189,0.0,hospital
887,21193,746.75,hospital
888,21195,2673.0,hospital
889,21199,,hospital
890,21203,,hospital
891,21205,,hospital
892,21207,,hospital
893,21209,,hospital
894,21211,,hospital
895,21213,,hospital
896,21217,,hospital
897,21219,,hospital
898,21221,,hospital
899,21225,,hospital
900,21227,3225.25,hospital
901,21231,,hospital
902,21235,1156.5,hospital
903,21239,,hospital
904,22001,466.75,hospital
905,22003,353.0,hospital
906,22005,927.5,hospital
907,22007,,hospital
908,22009,,hospital
909,22011,577.75,hospital
910,22013,,hospital
911,22015,1523.5,hospital
912,22017,13754.0,hospital
913,22019,4492.5,hospital
914,22021,215.75,hospital
915,22023,,hospital
916,22027,218.25,hospital
917,22029,,hospital
918,22031,,hospital
919,22033,12935.75,hospital
920,22035,,hospital
921,22037,1564.5,hospital
922,22039,727.75,hospital
923,22041,,hospital
924,22045,655.25,hospital
925,22049,,hospital
926,22051,15510.25,hospital
927,22053,614.25,hospital
928,22055,6606.5,hospital
929,22057,1406.0,hospital
930,22059,,hospital
931,22061,783.0,hospital
932,22063,105.75,hospital
933,22065,,hospital
934,22067,307.0,hospital
935,22069,,hospital
936,22071,9271.0,hospital
937,22073,3840.5,hospital
938,22075,,hospital
939,22077,,hospital
940,22079,4780.5,hospital
941,22081,,hospital
942,22083,,hospital
943,22085,,hospital
944,22087,,hospital
945,22089,,hospital
946,22091,,hospital
947,22093,,hospital
948,22095,,hospital
949,22097,1121.0,hospital
950,22099,214.0,hospital
951,22101,502.75,hospital
952,22103,5447.75,hospital
953,22105,3429.0,hospital
954,22109,1824.0,hospital
955,22111,,hospital
956,22113,557.25,hospital
957,22115,,hospital
958,22117,,hospital
959,22119,732.75,hospital
960,22123,,hospital
961,22125,,hospital
962,22127,,hospital
963,23001,3805.0,hospital
964,23003,1971.5,hospital
965,23005,10036.25,hospital
966,23007,,hospital
967,23009,1182.0,hospital
968,23011,4067.75,hospital
969,23013,,hospital
970,23015,,hospital
971,23017,,hospital
972,23019,6512.75,hospital
973,23021,,hospital
974,23025,,hospital
975,23027,,hospital
976,23029,,hospital
977,23031,2041.0,hospital
978,24001,2247.0,hospital
979,24003,5464.75,hospital
980,24005,12666.75,hospital
981,24009,,hospital
982,24013,2719.75,hospital
983,24015,1015.3333333333334,hospital
984,24017,,hospital
985,24019,,hospital
986,24021,2270.0,hospital
987,24023,,hospital
988,24025,3137.0,hospital
989,24027,2683.5,hospital
990,24029,278.0,hospital
991,24031,12208.75,hospital
992,24033,5083.25,hospital
993,24037,1318.25,hospital
994,24039,,hospital
995,24041,,hospital
996,24043,3369.5,hospital
997,24045,3062.75,hospital
998,24047,602.75,hospital
999,24510,38863.5,hospital
1000,25001,4266.0,hospital
1001,25003,,hospital
1002,25005,8954.0,hospital
1003,25007,,hospital
1004,25009,11890.0,hospital
1005,25011,,hospital
1006,25013,13421.75,hospital
1007,25015,1427.0,hospital
1008,25017,30589.0,hospital
1009,25019,,hospital
1010,25021,8692.75,hospital
1011,25023,6208.25,hospital
1012,25025,85836.25,hospital
1013,25027,21847.75,hospital
1014,26001,0.0,hospital
1015,26003,,hospital
1016,26005,356.0,hospital
1017,26007,942.25,hospital
1018,26009,0.0,hospital
1019,26011,,hospital
1020,26013,,hospital
1021,26015,,hospital
1022,26017,2314.5,hospital
1023,26019,,hospital
1024,26021,2887.0,hospital
1025,26023,520.25,hospital
1026,26025,1988.5,hospital
1027,26027,,hospital
1028,26029,0.0,hospital
1029,26033,841.0,hospital
1030,26035,,hospital
1031,26037,223.0,hospital
1032,26039,,hospital
1033,26041,73.0,hospital
1034,26043,865.75,hospital
1035,26045,817.5,hospital
1036,26047,1799.5,hospital
1037,26049,7991.75,hospital
1038,26051,,hospital
1039,26053,,hospital
1040,26055,4800.0,hospital
1041,26057,,hospital
1042,26059,,hospital
1043,26061,941.25,hospital
1044,26063,860.0,hospital
1045,26065,10588.5,hospital
1046,26067,,hospital
1047,26069,,hospital
1048,26071,,hospital
1049,26073,580.0,hospital
1050,26075,3701.5,hospital
1051,26077,7368.25,hospital
1052,26079,,hospital
1053,26081,29012.5,hospital
1054,26087,763.25,hospital
1055,26089,,hospital
1056,26091,773.75,hospital
1057,26093,836.75,hospital
1058,26095,,hospital
1059,26097,,hospital
1060,26099,10770.0,hospital
1061,26101,,hospital
1062,26103,1392.5,hospital
1063,26105,,hospital
1064,26107,,hospital
1065,26111,2772.0,hospital
1066,26115,1103.0,hospital
1067,26117,1522.0,hospital
1068,26119,0.0,hospital
1069,26121,4925.75,hospital
1070,26123,,hospital
1071,26125,35134.5,hospital
1072,26127,0.0,hospital
1073,26129,,hospital
1074,26131,,hospital
1075,26133,,hospital
1076,26137,,hospital
1077,26139,2924.75,hospital
1078,26143,0.0,hospital
1079,26145,6805.75,hospital
1080,26147,2021.75,hospital
1081,26149,919.5,hospital
1082,26151,760.25,hospital
1083,26153,,hospital
1084,26155,,hospital
1085,26157,389.0,hospital
1086,26159,866.5,hospital
1087,26161,25663.25,hospital
1088,26163,53341.0,hospital
1089,26165,,hospital
1090,27001,,hospital
1091,27003,4196.0,hospital
1092,27005,1052.25,hospital
1093,27007,217.0,hospital
1094,27009,0.0,hospital
1095,27011,278.75,hospital
1096,27013,0.0,hospital
1097,27015,726.0,hospital
1098,27017,1331.0,hospital
1099,27019,,hospital
1100,27023,,hospital
1101,27025,,hospital
1102,27027,,hospital
1103,27031,,hospital
1104,27033,,hospital
1105,27035,1207.5,hospital
1106,27037,2958.75,hospital
1107,27041,,hospital
1108,27043,,hospital
1109,27049,,hospital
1110,27051,,hospital
1111,27053,39388.0,hospital
1112,27057,,hospital
