"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=k&freq=A&start=2001&end=2021&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Wed Feb 15 2023 09:48:21 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"District Of Columbia : commercial","cents per kilowatthour","ELEC.PRICE.DC-COM.A",7.45,7.32,7.35,7.45,9.13,11.17,12.01,13.30,13.26,13.42,12.90,12.02,11.94,12.19,12.01,11.72,11.66,11.97,12.26,11.85,13.00
"Florida","cents per kilowatthour","ELEC.PRICE.FL-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Florida : all sectors","cents per kilowatthour","ELEC.PRICE.FL-ALL.A",7.67,7.31,7.72,8.16,8.76,10.45,10.33,10.74,11.49,10.58,10.61,10.44,10.22,10.77,10.49,9.91,10.42,10.32,10.44,10.06,10.67
"Florida : commercial","cents per kilowatthour","ELEC.PRICE.FL-COM.A",7.08,6.64,7.13,7.61,8.16,9.91,9.75,10.14,10.77,9.76,9.85,9.66,9.39,9.87,9.50,8.90,9.35,9.19,9.27,8.85,9.51
"Georgia","cents per kilowatthour","ELEC.PRICE.GA-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Georgia : all sectors","cents per kilowatthour","ELEC.PRICE.GA-ALL.A",6.39,6.24,6.32,6.58,7.43,7.63,7.86,8.84,8.81,8.87,9.61,9.37,9.69,10.03,9.62,9.59,9.83,9.62,9.86,9.93,10.43
"Georgia : commercial","cents per kilowatthour","ELEC.PRICE.GA-COM.A",6.61,6.46,6.66,6.88,7.67,7.81,8.07,9.07,8.94,9.06,9.87,9.58,9.99,10.36,9.89,9.81,10.09,9.79,10.02,10.08,10.61
"Maryland","cents per kilowatthour","ELEC.PRICE.MD-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Maryland : all sectors","cents per kilowatthour","ELEC.PRICE.MD-ALL.A",6.60,6.18,6.45,7.15,8.13,9.95,11.50,13.01,13.09,12.71,11.93,11.28,11.66,12.10,12.07,12.21,11.98,11.57,11.24,11.15,11.48
"Maryland : commercial","cents per kilowatthour","ELEC.PRICE.MD-COM.A",6.36,6.31,6.95,7.56,8.97,10.56,11.58,12.77,11.98,11.75,11.28,10.43,10.68,11.15,11.00,10.99,10.75,10.43,9.97,9.72,10.26
"North Carolina","cents per kilowatthour","ELEC.PRICE.NC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"North Carolina : all sectors","cents per kilowatthour","ELEC.PRICE.NC-ALL.A",6.58,6.74,6.86,6.97,7.19,7.53,7.83,7.96,8.48,8.67,8.64,9.15,9.24,9.33,9.37,9.20,9.04,9.25,9.45,9.43,9.29
"North Carolina : commercial","cents per kilowatthour","ELEC.PRICE.NC-COM.A",6.42,6.51,6.65,6.70,6.86,7.17,7.43,7.55,7.98,8.16,8.13,8.66,8.76,8.75,8.73,8.62,8.44,8.58,8.81,8.69,8.50
"South Carolina","cents per kilowatthour","ELEC.PRICE.SC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"South Carolina : all sectors","cents per kilowatthour","ELEC.PRICE.SC-ALL.A",5.77,5.83,6.08,6.22,6.72,6.98,7.18,7.85,8.42,8.49,8.80,9.10,9.24,9.67,9.58,9.79,9.97,9.67,10.02,9.90,9.96
"South Carolina : commercial","cents per kilowatthour","ELEC.PRICE.SC-COM.A",6.45,6.48,6.81,6.91,7.39,7.60,7.74,8.42,8.74,8.90,9.30,9.63,9.88,10.28,10.21,10.28,10.57,10.11,10.58,10.35,10.67
"Virginia","cents per kilowatthour","ELEC.PRICE.VA-ALL.A",,,,,,,,,,,,,,,,,,,,,
"Virginia : all sectors","cents per kilowatthour","ELEC.PRICE.VA-ALL.A",6.18,6.23,6.27,6.43,6.64,6.86,7.12,8.00,8.93,8.69,8.84,9.07,8.96,9.17,9.31,9.09,9.18,9.48,9.52,9.16,9.14
"Virginia : commercial","cents per kilowatthour","ELEC.PRICE.VA-COM.A",5.85,5.87,5.74,5.88,6.05,6.21,6.38,7.32,8.06,7.65,7.95,8.08,8.00,8.15,8.21,7.93,8.01,8.32,8.18,7.63,7.79
"West Virginia","cents per kilowatthour","ELEC.PRICE.WV-ALL.A",,,,,,,,,,,,,,,,,,,,,
"West Virginia : all sectors","cents per kilowatthour","ELEC.PRICE.WV-ALL.A",5.07,5.11,5.13,5.13,5.15,5.04,5.34,5.61,6.65,7.45,7.88,8.14,7.91,7.65,8.11,8.98,9.00,8.72,8.49,8.75,8.87
"West Virginia : commercial","cents per kilowatthour","ELEC.PRICE.WV-COM.A",5.44,5.41,5.45,5.46,5.53,5.59,5.85,6.08,6.77,7.66,8.14,8.42,8.17,7.99,8.61,9.35,9.58,9.24,9.16,9.40,9.50
"East South Central","cents per kilowatthour","ELEC.PRICE.ESC-ALL.A",,,,,,,,,,,,,,,,,,,,,
"East South Central : all sectors","cents per kilowatthour","ELEC.PRICE.ESC-ALL.A",5.33,5.39,5.55,5.83,6.17,6.78,7.01,7.87,8.13,8.16,8.58,8.58,8.71,9.08,9.06,9.04,9.29,9.29,9.40,9.32,9.69
