"Price"
"https://www.eia.gov/coal/data/browser/#/topic/23?agg=1,0&geo=vvvvvvvvvvvvo&sec=gs&freq=A&start=2015&end=2021&ctype=map&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Feb 14 2023 17:29:19 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2015","2016","2017","2018","2019","2020","2021"
"Coke plants : South Carolina","$/short ton","COAL.COST.SC-9.A","--","--","--","--","--","--","--"
"Coke plants : Virginia","$/short ton","COAL.COST.VA-9.A","W","W","W","W","W","W","W"
"Coke plants : West Virginia","$/short ton","COAL.COST.WV-9.A","W","W","W","W","W","W","W"
"Coke plants : East South Central","$/short ton","COAL.COST.ESC-9.A","W","W","W","W","W","W","W"
"Coke plants : Alabama","$/short ton","COAL.COST.AL-9.A","W","W","W","W","W","W","W"
"Coke plants : Kentucky","$/short ton","COAL.COST.KY-9.A","--","--","--","--","--","--","--"
"Coke plants : Mississippi","$/short ton","COAL.COST.MS-9.A","--","--","--","--","--","--","--"
"Coke plants : Tennessee","$/short ton","COAL.COST.TN-9.A","--","--","--","--","--","--","--"
"Coke plants : West South Central","$/short ton","COAL.COST.WSC-9.A","--","--","--","--","--","--","--"
"Coke plants : Arkansas","$/short ton","COAL.COST.AR-9.A","--","--","--","--","--","--","--"
"Coke plants : Louisiana","$/short ton","COAL.COST.LA-9.A","--","--","--","--","--","--","--"
"Coke plants : Oklahoma","$/short ton","COAL.COST.OK-9.A","--","--","--","--","--","--","--"
"Coke plants : Texas","$/short ton","COAL.COST.TX-9.A","--","--","--","--","--","--","--"
"Coke plants : Mountain","$/short ton","COAL.COST.MTN-9.A","--","--","--","--","--","--","--"
"Coke plants : Arizona","$/short ton","COAL.COST.AZ-9.A","--","--","--","--","--","--","--"
"Coke plants : Colorado","$/short ton","COAL.COST.CO-9.A","--","--","--","--","--","--","--"
"Coke plants : Idaho","$/short ton","COAL.COST.ID-9.A","--","--","--","--","--","--","--"
"Coke plants : Montana","$/short ton","COAL.COST.MT-9.A","--","--","--","--","--","--","--"
"Coke plants : Nevada","$/short ton","COAL.COST.NV-9.A","--","--","--","--","--","--","--"
"Coke plants : New Mexico","$/short ton","COAL.COST.NM-9.A","--","--","--","--","--","--","--"
"Coke plants : Utah","$/short ton","COAL.COST.UT-9.A","--","--","--","--","--","--","--"
"Coke plants : Wyoming","$/short ton","COAL.COST.WY-9.A","--","--","--","--","--","--","--"
"Coke plants : Pacific Contiguous","$/short ton","COAL.COST.PCC-9.A","--","--","--","--","--","--","--"
"Coke plants : California","$/short ton","COAL.COST.CA-9.A","--","--","--","--","--","--","--"
"Coke plants : Oregon","$/short ton","COAL.COST.OR-9.A","--","--","--","--","--","--","--"
"Coke plants : Washington","$/short ton","COAL.COST.WA-9.A","--","--","--","--","--","--","--"
"Coke plants : Pacific Noncontiguous","$/short ton","COAL.COST.PCN-9.A","--","--","--","--","--","--","--"
"Coke plants : Alaska","$/short ton","COAL.COST.AK-9.A","--","--","--","--","--","--","--"
"Coke plants : Hawaii","$/short ton","COAL.COST.HI-9.A","--","--","--","--","--","--","--"
"Other industrial","$/short ton","COAL.COST.US-10.A",,,,,,,
"Other industrial : United States","$/short ton","COAL.COST.US-10.A",65.44,60.49,58.67,59.01,61.37,57.18,57.89
"Other industrial : New England","$/short ton","COAL.COST.NEW-10.A","W","W","W","W","W","W","--"
"Other industrial : Connecticut","$/short ton","COAL.COST.CT-10.A","--","--","--","--","--","--","--"
"Other industrial : Maine","$/short ton","COAL.COST.ME-10.A","W","W","W","W","W","W","--"
"Other industrial : Massachusetts","$/short ton","COAL.COST.MA-10.A","W","W","W","W","W","--","--"
"Other industrial : New Hampshire","$/short ton","COAL.COST.NH-10.A","--","--","--","--","--","--","--"
"Other industrial : Rhode Island","$/short ton","COAL.COST.RI-10.A","--","--","--","--","--","--","--"
"Other industrial : Vermont","$/short ton","COAL.COST.VT-10.A","--","--","--","--","--","--","--"
"Other industrial : Middle Atlantic","$/short ton","COAL.COST.MAT-10.A",86.62,78.84,83.76,94.64,85.97,86.65,87.46
