,FIPS,NERC Region
741,29071,SERC
742,29077,MRO
743,29079,SERC
744,29091,SERC
745,29095,MRO
746,29097,MRO
747,29099,SERC
748,29101,SERC
749,29107,SERC
750,29115,SERC
751,29117,SERC
752,29121,SERC
753,29123,SERC
754,29127,SERC
755,29143,SERC
756,29147,SERC
757,29163,SERC
758,29165,MRO
759,29171,SERC
760,29175,SERC
761,29183,SERC
762,29187,SERC
763,29189,SERC
764,29195,SERC
765,29201,SERC
766,29205,SERC
767,29207,SERC
768,29217,MRO
769,29510,SERC
770,30003,WECC
771,30017,MRO
772,30021,MRO
773,30023,WECC
774,30083,MRO
775,30085,MRO
776,30087,WECC
777,30093,WECC
778,30111,WECC
779,31001,MRO
780,31023,MRO
781,31025,MRO
782,31027,MRO
783,31033,MRO
784,31039,MRO
785,31041,MRO
786,31049,MRO
787,31051,MRO
788,31053,MRO
789,31055,MRO
790,31061,MRO
791,31063,MRO
792,31065,MRO
793,31067,MRO
794,31071,MRO
795,31073,MRO
796,31077,MRO
797,31079,MRO
798,31089,MRO
799,31097,MRO
800,31105,MRO
801,31109,MRO
802,31111,MRO
803,31119,MRO
804,31127,MRO
805,31131,MRO
806,31139,MRO
807,31145,MRO
808,31147,MRO
809,31151,MRO
810,31153,MRO
811,31155,MRO
812,31169,MRO
813,31173,MRO
814,31175,MRO
815,31179,MRO
816,31181,MRO
817,31185,MRO
818,32001,WECC
819,32003,WECC
820,32007,WECC
821,32011,WECC
822,32013,WECC
823,32015,WECC
824,32019,WECC
825,32021,WECC
826,32027,WECC
827,32029,WECC
828,32031,WECC
829,33003,NPCC
830,33007,NPCC
831,33009,NPCC
832,33013,NPCC
833,33015,NPCC
834,34001,RFC
835,34003,RFC
836,34005,RFC
837,34007,RFC
838,34011,RFC
839,34013,RFC
840,34015,RFC
841,34017,RFC
842,34019,RFC
843,34021,RFC
844,34023,RFC
845,34029,RFC
846,34033,RFC
847,34035,RFC
848,34039,RFC
849,34041,RFC
850,35001,WECC
851,35013,WECC
852,35023,WECC
853,35025,MRO
854,35029,WECC
855,35031,WECC
856,35037,WECC
857,35045,WECC
858,35061,WECC
859,36001,NPCC
860,36003,NPCC
861,36005,NPCC
862,36009,NPCC
863,36011,NPCC
864,36013,NPCC
865,36019,NPCC
866,36029,NPCC
867,36031,NPCC
868,36037,NPCC
869,36039,NPCC
870,36045,NPCC
871,36047,NPCC
872,36049,NPCC
873,36055,NPCC
