,FIPS,MSA,unemp_qual_status_21,ffe_qual_status_21,ec_ffe_status_21,unemp_qual_status_22,ffe_qual_status_22,ec_ffe_status_22
2236,40055,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2238,40057,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2239,40059,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2240,40061,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2241,40063,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2242,40065,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2243,40067,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2244,40069,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2245,40071,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2246,40073,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2247,40075,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2248,40077,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2249,40079,22900,0.0,1.0,0.0,0.0,1.0,0.0
2250,40081,36420,0.0,1.0,0.0,0.0,1.0,0.0
2251,40083,36420,0.0,1.0,0.0,0.0,1.0,0.0
2252,40085,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2253,40087,36420,0.0,1.0,0.0,0.0,1.0,0.0
2254,40089,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2255,40091,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2256,40093,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2257,40095,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2258,40097,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2259,40099,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2260,40101,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2262,40103,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2263,40105,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2264,40107,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2265,40109,36420,0.0,1.0,0.0,0.0,1.0,0.0
2266,40111,46140,0.0,1.0,0.0,0.0,1.0,0.0
2267,40113,46140,0.0,1.0,0.0,0.0,1.0,0.0
2268,40115,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2269,40117,46140,0.0,1.0,0.0,0.0,1.0,0.0
2270,40119,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2271,40121,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2272,40123,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2273,40125,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2274,40127,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2275,40129,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2276,40131,46140,0.0,1.0,0.0,0.0,1.0,0.0
2277,40133,4000004,0.0,1.0,0.0,0.0,1.0,0.0
2278,40135,22900,0.0,1.0,0.0,0.0,1.0,0.0
2279,40137,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2280,40139,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2281,40141,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2282,40143,46140,0.0,1.0,0.0,0.0,1.0,0.0
2283,40145,46140,0.0,1.0,0.0,0.0,1.0,0.0
2284,40147,4000001,0.0,1.0,0.0,0.0,1.0,0.0
2286,40149,4000003,0.0,1.0,0.0,0.0,1.0,0.0
2287,40151,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2288,40153,4000002,0.0,1.0,0.0,0.0,1.0,0.0
2289,41001,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2290,41003,18700,0.0,0.0,0.0,0.0,0.0,0.0
2291,41005,38900,0.0,0.0,0.0,1.0,0.0,0.0
2292,41007,4100006,1.0,0.0,0.0,1.0,0.0,0.0
2293,41009,38900,0.0,0.0,0.0,1.0,0.0,0.0
2294,41011,4100006,1.0,0.0,0.0,1.0,0.0,0.0
2295,41013,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2296,41015,4100006,1.0,0.0,0.0,1.0,0.0,0.0
2297,41017,13460,0.0,0.0,0.0,1.0,0.0,0.0
2298,41019,4100006,1.0,0.0,0.0,1.0,0.0,0.0
2299,41021,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2300,41023,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2301,41025,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2302,41027,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2303,41029,32780,1.0,0.0,0.0,1.0,0.0,0.0
2304,41031,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2305,41033,24420,1.0,0.0,0.0,1.0,0.0,0.0
2306,41035,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2307,41037,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2308,41039,21660,1.0,0.0,0.0,1.0,0.0,0.0
2309,41041,4100006,1.0,0.0,0.0,1.0,0.0,0.0
2310,41043,10540,1.0,0.0,0.0,1.0,0.0,0.0
2311,41045,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2312,41047,41420,0.0,0.0,0.0,1.0,0.0,0.0
2313,41049,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2314,41051,38900,0.0,0.0,0.0,1.0,0.0,0.0
2315,41053,41420,0.0,0.0,0.0,1.0,0.0,0.0
2316,41055,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2318,41057,4100006,1.0,0.0,0.0,1.0,0.0,0.0
2319,41059,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2320,41061,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2321,41063,4100008,0.0,0.0,0.0,1.0,0.0,0.0
2322,41065,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2323,41067,38900,0.0,0.0,0.0,1.0,0.0,0.0
2324,41069,4100007,1.0,0.0,0.0,1.0,0.0,0.0
2325,41071,38900,0.0,0.0,0.0,1.0,0.0,0.0
2326,42001,23900,0.0,0.0,0.0,0.0,0.0,0.0
2327,42003,38300,1.0,1.0,1.0,1.0,1.0,1.0
2328,42005,38300,1.0,1.0,1.0,1.0,1.0,1.0
2329,42007,38300,1.0,1.0,1.0,1.0,1.0,1.0
2330,42009,4200003,1.0,1.0,1.0,1.0,1.0,1.0
2331,42011,39740,1.0,0.0,0.0,1.0,0.0,0.0
2332,42013,11020,1.0,0.0,0.0,1.0,0.0,0.0
2333,42015,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2334,42017,37980,1.0,0.0,0.0,1.0,0.0,0.0
2335,42019,38300,1.0,1.0,1.0,1.0,1.0,1.0
2336,42021,27780,1.0,1.0,1.0,1.0,1.0,1.0
2337,42023,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2338,42025,10900,1.0,0.0,0.0,1.0,0.0,0.0
2339,42027,44300,0.0,1.0,0.0,0.0,1.0,0.0
2340,42029,37980,1.0,0.0,0.0,1.0,0.0,0.0
2341,42031,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2342,42033,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2343,42035,4200002,1.0,1.0,1.0,1.0,1.0,1.0
2344,42037,14100,0.0,0.0,0.0,1.0,0.0,0.0
2345,42039,4200001,1.0,1.0,1.0,1.0,1.0,1.0
2347,42041,25420,0.0,0.0,0.0,1.0,0.0,0.0
2348,42043,25420,0.0,0.0,0.0,1.0,0.0,0.0
